Start Date,End Date,Duration (in seconds),Recorded Date,Out_tie,introvert,In_tie,tie_type
2022-04-07T15:28:23Z,2022-04-07T15:29:55Z,91,2022-04-07T15:29:55Z,R_3oGdOSVL58HkPLJ,3,R_31RjdnwvI7oc3rn,3
2022-04-07T15:28:23Z,2022-04-07T15:29:55Z,91,2022-04-07T15:29:55Z,R_3oGdOSVL58HkPLJ,3,R_3G3ubwwPwXt21aS,1
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_1OKcVsWLMJuKE69,4
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_3m1TyvKi6kKz505,3
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_3m1TyvKi6kKz505,5
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_VJaueK36zR0sD6N,3
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_VJaueK36zR0sD6N,4
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_1GKpih8uV7t9rTq,3
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_2X7G1JpnunGZUnH,3
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_2X7G1JpnunGZUnH,4
2022-04-07T15:27:46Z,2022-04-07T15:30:00Z,134,2022-04-07T15:30:00Z,R_2f35nXJNSOwmZSr,2,R_2X7G1JpnunGZUnH,5
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_1OKcVsWLMJuKE69,4
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3gNlZxrhNGCvQAd,4
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3oHD4yaWusLYZwJ,5
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3m1TyvKi6kKz505,3
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_e41ZrIhK2URdHCV,3
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3GDn3KeV2jrktfY,4
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3GDn3KeV2jrktfY,5
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3oGdOSVL58HkPLJ,3
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3oGdOSVL58HkPLJ,4
2022-04-07T15:28:23Z,2022-04-07T15:30:25Z,122,2022-04-07T15:30:26Z,R_31RjdnwvI7oc3rn,1,R_3oGdOSVL58HkPLJ,5
2022-04-07T15:28:15Z,2022-04-07T15:32:20Z,244,2022-04-07T15:32:20Z,R_2xRGef4HjWotFuD,3,R_2zCutx5soLQdGaU,4
2022-04-07T15:28:15Z,2022-04-07T15:32:20Z,244,2022-04-07T15:32:20Z,R_2xRGef4HjWotFuD,3,R_2zCutx5soLQdGaU,5
2022-04-07T15:28:15Z,2022-04-07T15:32:20Z,244,2022-04-07T15:32:20Z,R_2xRGef4HjWotFuD,3,R_3dEONOG5ochGaix,4
2022-04-07T15:28:15Z,2022-04-07T15:32:20Z,244,2022-04-07T15:32:20Z,R_2xRGef4HjWotFuD,3,R_3dEONOG5ochGaix,5
2022-04-07T15:28:15Z,2022-04-07T15:32:20Z,244,2022-04-07T15:32:20Z,R_2xRGef4HjWotFuD,3,R_3G3ubwwPwXt21aS,4
